Index,0 [0x0][0x0],1 [0x19][0x31],2 [0x5][0x8],3 [0x3][0x1a],4 [0x3][0x1b],5 [0x3][0x1c],6 [0x3][0x1d],7 [0x4][0x18],8 [0x5][0xa],9 [0x3][0x1e],10 [0x2][0x2d],11 [0x3][0x1f],12 [0x3][0x20],13 [0x1a][0x31],14 [0x2][0x2e],15 [0x1b][0x31],16 [0x1c][0x31],17 [0x1d][0x31],18 [0x1e][0x31],19 [0x1f][0x31],20 [0x20][0x31],21 [0x19][0x32],22 [0x1a][0x32],23 [0x1b][0x32],24 [0x2][0x2f],25 [0x1c][0x32],26 [0x1d][0x32],27 [0x3][0x21],28 [0x3][0x22],29 [0x3][0x23],30 [0x1e][0x32],31 [0x3][0x24],32 [0x5][0xc],33 [0x3][0x25],34 [0x5][0xe],35 [0x5][0x10],36 [0x1f][0x32],37 [0x5][0x12],38 [0x5][0x14],39 [0x3][0x26],40 [0x2][0x30],41 [0x3][0x27],42 [0x3][0x28],43 [0x5][0x16],44 [0x7][0x4],45 [0x3][0x29],46 [0x3][0x2a],47 [0x20][0x32],48 [0x19][0x33],49 [0x3][0x2b],50 [0x1a][0x33],51 [0x1b][0x33],52 [0x1c][0x33],53 [0x1d][0x33],54 [0x1e][0x33],55 [0x1f][0x33],56 [0x20][0x33],57 [0x19][0x34],58 [0x1a][0x34],59 [0x3][0x2c],60 [0x1b][0x34],61 [0x1c][0x34]
23,"Circle of Scorn",false,161,4,0,0,0,313,1892,0,1,0,50,false,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,0,0,0,0,0,true,0,250,3,-1,7,0,0,0,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
24,"Shield Lob",false,164,3,0,0,0,316,1875,0,1,0,15,false,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,39,0,0,false,0,25,58,-1,7,0,0,65798,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
25,"Shield Swipe",false,160,4,0,0,0,318,1875,0,1,0,30,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,2,0,0,true,0,150,15,-1,7,0,0,65801,38,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
26,"Sword Oath",false,2504,2,0,29,4,442,1875,0,19,0,35,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,true,0,25,58,0,0,0,381,32,20,1,true,false,0,false,false,true,false,true,true,false,false,true,0,false,false
27,"Cover",false,2501,4,0,0,0,375,1887,0,19,0,40,false,10,false,true,false,false,false,false,false,false,false,0,true,false,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,33,20,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
28,"Shield Oath",false,2505,2,0,29,4,443,1875,0,19,0,30,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,true,0,25,58,0,0,0,79,31,20,1,true,false,0,false,false,true,false,true,true,false,false,true,0,false,false
29,"Spirits Within",false,2503,4,0,0,0,314,1875,0,19,0,45,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,2,-1,7,0,0,34,20,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
30,"Hallowed Ground",false,2502,4,0,0,0,378,1875,0,19,0,50,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,4200,25,0,0,0,0,35,20,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
31,"Heavy Swing",false,260,3,0,0,0,319,1875,0,3,0,1,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
32,"Foresight",false,252,4,0,0,0,379,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
33,"Fracture",false,256,3,0,0,0,321,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
34,"Bloodbath",false,251,4,0,0,0,380,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
35,"Skull Sunder",false,257,3,0,0,0,320,1875,0,3,0,4,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
36,"Mercy Stroke",false,265,4,0,0,0,381,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,6,0,0,true,0,900,0,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
37,"Maim",false,255,3,0,0,0,322,1875,0,3,0,18,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
38,"Berserk",false,259,4,0,0,0,382,1875,0,3,0,6,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,7,0,0,0,0,0,44,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
39,"Brutal Swing",false,253,4,0,0,0,324,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,200,0,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
40,"Thrill of Battle",false,263,4,0,0,0,383,1875,0,3,0,26,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,0,44,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
41,"Overpower",false,254,3,0,0,0,309,1940,0,3,0,10,false,8,false,false,false,true,false,false,false,false,false,0,true,true,3,8,0,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
42,"Storm's Path",false,258,3,0,0,0,323,1875,0,3,0,38,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
43,"Holmgang",false,266,4,0,0,0,385,1875,0,3,0,42,false,6,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
44,"Vengeance",false,267,4,0,0,0,388,1875,0,3,0,46,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,10,0,0,0,0,0,44,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
45,"Storm's Eye",false,264,3,0,0,0,329,1875,0,3,0,50,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
46,"Tomahawk",false,261,3,0,0,0,328,1875,0,3,0,15,false,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,65852,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
47,"Butcher's Block",false,262,3,0,0,0,325,1875,0,3,0,30,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,35,false,0,25,58,-1,7,0,0,65855,44,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
48,"Defiance",false,2551,4,0,0,0,384,1875,0,21,0,30,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,100,1,0,0,0,91,41,22,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
49,"Inner Beast",false,2553,3,0,0,0,330,1875,0,21,0,35,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,22,50,32,91,0,true,0,25,58,-1,7,0,0,42,22,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
50,"Unchained",false,2554,4,0,0,0,386,1875,0,21,0,40,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,32,91,0,true,0,900,8,0,0,0,0,43,22,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
51,"Steel Cyclone",false,2552,3,0,0,0,327,1916,0,21,0,45,false,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,22,50,32,91,0,true,0,25,58,-1,7,0,0,44,22,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
52,"Infuriate",false,2555,4,0,0,0,387,1875,0,21,0,50,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,57,0,0,true,0,600,4,0,0,0,0,45,22,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
53,"Bootshine",false,208,3,0,0,0,333,1875,0,2,0,1,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
54,"True Strike",false,209,3,0,0,0,334,1875,0,2,0,4,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,108,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
55,"Featherfoot",false,202,4,0,0,0,389,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
56,"Snap Punch",false,210,3,0,0,0,336,1875,0,2,0,6,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,40,32,109,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
57,"Second Wind",false,201,4,2,0,0,390,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
58,"Haymaker",false,203,3,0,0,0,331,1875,207,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,40,4,0,0,true,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
59,"Internal Release",false,212,4,0,0,0,391,1875,0,2,0,10,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,5,0,0,0,0,0,41,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
60,"Fists of Earth",false,206,4,0,0,0,392,1875,0,2,0,15,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,104,66094,41,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
61,"Twin Snakes",false,213,3,0,0,0,337,1875,0,2,0,18,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,108,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
62,"Arm of the Destroyer",false,215,3,0,0,0,395,1875,0,2,0,26,false,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
63,"Fists of Fire",false,205,4,0,0,0,393,1875,0,20,0,40,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,103,38,21,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
64,"Steel Peak",false,2530,4,0,0,0,341,1888,0,2,0,38,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,400,4,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
65,"Mantra",false,216,4,0,0,0,396,1922,0,2,0,42,false,0,true,false,false,false,false,false,false,false,false,0,true,false,2,7,0,false,0,0,0,0,0,true,0,900,10,0,0,0,0,0,41,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
66,"Demolish",false,204,3,0,0,0,342,1875,0,2,0,30,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,40,32,109,0,false,0,25,58,-1,7,0,0,66103,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
67,"Howling Fist",false,207,4,0,0,0,398,1889,0,2,0,46,false,10,false,false,false,true,false,false,false,false,false,0,true,true,4,10,2,true,0,0,0,0,0,true,0,600,6,-1,7,0,0,0,41,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
68,"Touch of Death",false,211,3,0,0,0,338,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
69,"Perfect Balance",false,217,4,0,0,0,399,1875,0,2,0,50,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,11,0,0,0,0,0,41,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
70,"Rockbreaker",false,2529,3,0,0,0,340,1875,0,20,0,30,false,5,false,false,false,true,false,false,false,false,false,0,true,true,3,5,0,true,5,120,32,109,0,false,0,25,58,-1,7,0,0,36,21,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
71,"Shoulder Tackle",false,2526,4,0,0,0,394,1875,0,20,1,35,false,20,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,3,-1,7,0,0,37,21,2,false,true,0,false,false,true,false,true,true,false,false,true,0,false,false
72,"One Ilm Punch",false,214,3,0,0,0,339,1875,0,20,0,45,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,32,108,0,false,0,25,58,-1,7,0,0,39,21,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
73,"Fists of Wind",false,2527,4,0,0,0,397,1875,0,2,0,34,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,105,0,41,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
74,"Dragon Kick",false,2528,3,0,0,0,335,1875,0,20,0,50,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,0,false,0,25,58,-1,7,0,0,40,21,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
75,"True Thrust",false,310,3,0,0,0,343,1875,193,4,0,1,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
76,"Feint",false,307,3,0,0,0,344,1875,205,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
77,"Keen Flurry",false,301,4,0,0,0,400,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
78,"Vorpal Thrust",false,312,3,0,0,0,345,1875,0,4,0,4,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,75,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
79,"Heavy Thrust",false,311,3,0,0,0,346,1875,0,4,0,10,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
80,"Invigorate",false,302,4,0,0,0,401,1875,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,0,0,0,0,0,0,0,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
81,"Impulse Drive",false,313,3,0,0,0,347,1875,0,4,0,6,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
82,"Leg Sweep",false,305,4,0,0,0,348,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,0,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
83,"Life Surge",false,304,4,0,0,0,402,1875,0,4,0,18,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,500,8,0,0,0,0,0,47,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
84,"Full Thrust",false,314,3,0,0,0,354,1875,0,4,0,26,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,78,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
85,"Blood for Blood",false,309,4,0,0,0,404,1875,0,4,0,30,false,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,800,6,0,0,0,0,65975,47,1,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
86,"Doom Spike",false,306,3,0,0,0,349,1896,0,22,0,40,false,10,false,false,false,true,false,false,false,false,false,0,true,true,4,10,4,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,48,23,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
87,"Disembowel",false,317,3,0,0,0,355,1875,0,4,0,38,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,81,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
88,"Chaos Thrust",false,308,3,0,0,0,350,1875,0,4,0,50,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,87,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
89,"Ring of Thorns",false,2579,3,0,0,0,351,1897,0,-1,0,0,false,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,5,120,0,0,79,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
90,"Piercing Talon",false,315,3,0,0,0,352,1875,0,4,0,15,false,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,65591,47,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
91,"Phlebotomize",false,316,3,0,0,0,353,1875,0,-1,0,0,false,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,90,0,0,0,false,0,25,58,-1,7,0,0,0,0,2,false,false,0,false,false,true,false,true,true,false,false,true,0,false,false
92,"Jump",false,2576,4,0,0,0,403,1875,0,22,1,30,false,20,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,3,-1,7,0,0,46,23,2,false,true,0,false,false,true,false,true,true,false,false,true,0,false,false
